iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
1,39984,541,-1.807636724374233,10.516995829802292,-0.010140904662927287,12.54393905357143,10.506529,-13.586068,38.673848,25.373407,25.373407,25.373407,25.373407
2,79968,540,-1.8904919089415135,11.17154697164511,-0.020676350292752686,15.628894125,15.280762,-10.249644,43.76753,26.999249,26.999249,26.999249,26.999249
3,119952,541,-2.0010907668333786,14.087878390458913,-0.021310256382051963,19.097734339285715,16.6005275,-7.831559,43.918339,35.416998,35.416998,35.416998,35.416998
4,159936,543,-2.097721850566375,35.839889374757426,-0.013689614833758522,14.573217660714288,19.943206,-399.0143,53.572706,49.116381,49.116381,49.116381,49.116381
5,199920,541,-2.2331700404485066,13.678059461177924,-0.022426249075998876,22.531643232142862,19.863560999999997,1.872792,51.960446,39.272837,39.272837,39.272837,39.272837
6,239904,540,-2.325374554976439,14.931592176816402,-0.020757021202063276,30.94751667857143,31.7774735,-16.207414,59.947009,41.311396,41.311396,41.311396,41.311396
7,279888,541,-2.4289875825246177,14.182116378881993,-0.01704947319488453,39.89906075,40.341522499999996,11.696352,108.325077,40.180726,40.180726,40.180726,40.180726
8,319872,541,-2.5322645083451882,10.8243703686274,-0.01951004878132596,40.35866003571429,41.5527275,20.386022,70.973503,52.519996,52.519996,52.519996,52.519996
9,359856,541,-2.6322509735058515,10.420649871459375,-0.019582752416802882,41.98842141071429,42.228918,21.699793,60.23594,54.152252,54.152252,54.152252,54.152252
10,399840,541,-2.7345787830841846,10.087880533169477,-0.024521428029271566,46.12726753571428,48.458405,-6.146125,71.589234,61.511351,61.511351,61.511351,61.511351
11,439824,542,-2.831934863481766,8.275807958382826,-0.022681972270630724,49.75583214285715,51.6783055,24.774993,68.722978,61.503391,61.503391,61.503391,61.503391
12,479808,542,-2.940990333679395,8.294162727930606,-0.022496000350190278,51.704771089285714,53.162435,31.284599,73.913273,66.973661,66.973661,66.973661,66.973661
