iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
1,39984,374,-1.7760574652598455,6729.132687064929,-0.005872889680270022,-390.6104131249999,-228.9855225,-8718.973159,40.54069,-268.006958,-268.006958,-268.006958,-268.006958
2,79968,362,-1.782521538856702,7152.204108370267,0.0002263563305090289,-444.60357691071425,-227.4537705,-9044.807968,-129.813571,-304.200668,-304.200668,-304.200668,-304.200668
3,119952,360,-1.7750882922074733,9544.471218422132,-0.0015791675018800352,-511.7985676428571,-222.54644100000002,-9710.533432,-87.599518,-259.11628,-259.11628,-259.11628,-259.11628
4,159936,359,-1.7818592606446682,9093.117528983874,0.0002117420200076408,-408.2783386607143,-226.6299565,-6080.961462,-75.652586,-202.807104,-202.807104,-202.807104,-202.807104
5,199920,359,-1.7858375057196005,13532.547290039063,-0.0015516898475769455,-514.3456544107142,-237.561685,-6501.872061,-94.811254,-249.923545,-249.923545,-249.923545,-249.923545
6,239904,359,-1.791225814513671,12081.561807798727,-0.0032191686277003146,-424.65723294642856,-220.5255575,-7316.961927,-118.645117,-199.495996,-199.495996,-199.495996,-199.495996
7,279888,360,-1.8027026631893255,11824.639430901943,-0.002590612246174901,-501.4862630178572,-227.0531525,-12066.019442,-83.334558,-457.739732,-457.739732,-457.739732,-457.739732
8,319872,360,-1.8119870045246222,19312.007639410556,0.0006791400520925004,-307.3490263392857,-235.539904,-2171.087972,-119.126694,-189.524254,-189.524254,-189.524254,-189.524254
9,359856,361,-1.8171619702608157,12757.021119416066,-0.003593132595154039,-283.909053125,-193.1945225,-3400.105031,-92.965897,-539.185195,-539.185195,-539.185195,-539.185195
10,399840,361,-1.8296920858896695,13986.883868603829,-0.002777403525975294,-542.8348150892857,-219.952694,-10353.434445,132.752904,-195.719196,-195.719196,-195.719196,-195.719196
11,439824,362,-1.8405650462859715,11466.301239326673,-0.0010932062605719787,-305.3872109464286,-222.756592,-2045.742319,-125.326979,-221.801295,-221.801295,-221.801295,-221.801295
12,479808,362,-1.8474632140917655,10911.495547172352,-0.0023707365407925605,-203.2241784107143,-192.6772075,-448.596997,-24.380046,-209.511199,-209.511199,-209.511199,-209.511199
13,519792,361,-1.8620312314767105,15105.67244904347,-0.0006117049613049648,-459.06435114285716,-205.2275325,-8008.311324,-100.753879,-169.490917,-169.490917,-169.490917,-169.490917
14,559776,360,-1.8704599942916478,14847.069720771986,0.0010251315278508582,-218.04089267857142,-205.4589,-476.132353,-4.753342,-154.878491,-154.878491,-154.878491,-154.878491
15,599760,359,-1.8689860646541303,9723.183742581881,-0.005603551916432573,-272.4944816428571,-205.4759075,-1827.781315,-116.709211,-157.703517,-157.703517,-157.703517,-157.703517
16,639744,358,-1.8733703570488172,9157.642280069987,-0.0024220074611478663,-445.16124467857145,-207.656612,-5299.015442,-122.369323,-237.195054,-237.195054,-237.195054,-237.195054
17,679728,357,-1.8879224728315305,4992.132153985439,-0.004865956298413156,-268.84065775,-213.12504,-1546.891831,-75.346787,-176.842543,-176.842543,-176.842543,-176.842543
18,719712,356,-1.8976664320016519,5597.801513280624,0.004498439745489472,-432.41566792857145,-177.8413905,-10227.622311,-56.824943,-252.627192,-252.627192,-252.627192,-252.627192
19,759696,355,-1.9033083050678938,4627.859157347068,-0.0005856556390240141,-438.54441244642857,-164.542766,-4856.578747,-67.688462,-182.340497,-182.340497,-182.340497,-182.340497
