iter,total_num_steps,fps,entropy,value_loss,action_loss,mean_rew,median_rew,min_rew,max_rew,test_mean_rew,test_median_rew,test_min_rew,test_max_rew
1,39984,706,-1.7351959133759522,9173.51386311849,-0.002476823527309208,-415.6180009910714,-257.375629,-7402.519807,-132.610563,-318.383116,-318.383116,-318.383116,-318.383116
2,79968,701,-1.7218897306002103,12145.438225457607,-0.003724826513140355,-355.41278288392857,-256.292036,-4026.180453,-133.908409,-290.610177,-290.610177,-290.610177,-290.610177
3,119952,693,-1.7299384318865263,18698.171580466245,-0.0038231313659754305,-489.41759239285705,-253.9173755,-8649.776639,-126.885943,-313.683404,-313.683404,-313.683404,-313.683404
4,159936,696,-1.7342814155114004,30555.981388346354,-0.00492295900991079,-713.1856509196429,-269.190298,-12512.152605,-125.387225,-261.861058,-261.861058,-261.861058,-261.861058
5,199920,696,-1.7326255960342212,18132.932543945313,-0.0019595190625225837,-530.3842248392857,-271.788688,-8527.793829,-113.916696,-248.831508,-248.831508,-248.831508,-248.831508
6,239904,692,-1.7299985732787695,16986.10780451848,0.004467385916480756,-499.09324365178566,-262.17075050000005,-7207.470546,-144.198564,-338.681258,-338.681258,-338.681258,-338.681258
7,279888,689,-1.741895104982914,11726.781881087865,-0.004012924980587484,-424.26763385714287,-276.44489899999996,-7017.787257,-135.629232,-345.111826,-345.111826,-345.111826,-345.111826
8,319872,687,-1.7617791230861957,16292.907735736553,-5.180480477112071e-05,-463.35834641071426,-219.6596505,-8482.434439,-112.013842,-322.393933,-322.393933,-322.393933,-322.393933
9,359856,682,-1.7763605536558689,17545.545997032754,-0.003197090736000227,-395.2764660535714,-233.26923,-8666.835665,-133.554047,-233.642835,-233.642835,-233.642835,-233.642835
10,399840,682,-1.7824656954178444,17104.704119716545,-0.003280448414219651,-570.3525683660715,-243.949367,-11198.208617,-116.792463,-222.319168,-222.319168,-222.319168,-222.319168
11,439824,680,-1.7857195765544207,17984.020606720755,0.0021698365012036026,-350.7294408482143,-230.3199995,-9825.032826,-85.052459,-217.820491,-217.820491,-217.820491,-217.820491
12,479808,681,-1.7963783080761249,17088.863600589066,-0.0021826922620209353,-256.46396975892856,-216.52385700000002,-1530.518529,-116.557199,-180.257503,-180.257503,-180.257503,-180.257503
13,519792,682,-1.8125569945726638,7482.624100044446,-0.00649733711929562,-276.1659703660714,-218.070901,-2358.184704,-134.820384,-168.475798,-168.475798,-168.475798,-168.475798
14,559776,682,-1.8323566910548088,8767.686837846804,-0.0023018036127233736,-406.6626444196428,-209.4048065,-8413.372172,-126.970772,-167.381865,-167.381865,-167.381865,-167.381865
15,599760,684,-1.8666987440524958,7656.1747904459635,-0.00041543216536807354,-253.39606607142858,-201.8992575,-2816.578439,-112.923561,-170.13203,-170.13203,-170.13203,-170.13203
16,639744,684,-1.887011978870783,8005.592899420322,-0.006780896003417579,-342.5863541696429,-200.18528750000002,-6646.451616,-115.365929,-160.283462,-160.283462,-160.283462,-160.283462
17,679728,685,-1.8964601761255508,8456.578491445689,0.005631683224335295,-363.2453257946428,-195.21643749999998,-7225.206041,-122.64069,-155.828144,-155.828144,-155.828144,-155.828144
18,719712,684,-1.9151166784457672,4214.864497453738,-0.004695031569542316,-215.75830192857146,-189.134378,-1280.815471,-102.51739,-134.921772,-134.921772,-134.921772,-134.921772
19,759696,684,-1.9400831002455492,2441.8920359097992,-0.0018619152227377829,-195.99526894642855,-186.063169,-385.098449,-86.109176,-144.942407,-144.942407,-144.942407,-144.942407
20,799680,685,-1.9417002506745167,5911.870292536418,-0.002238148488084317,-212.59142582142857,-182.52456899999999,-2267.976133,-124.664975,-126.214195,-126.214195,-126.214195,-126.214195
21,839664,684,-1.9560272715030573,4130.936084062625,-0.004432841236974547,-225.1901284017857,-188.474998,-3555.315386,-101.067319,-142.531642,-142.531642,-142.531642,-142.531642
22,879648,686,-1.951540221617772,2803.927154873579,-0.0018981193185213785,-217.89213091964282,-185.041708,-3462.012586,-113.607019,-159.223713,-159.223713,-159.223713,-159.223713
23,919632,686,-1.959874397974748,3611.8388888041177,-0.004372627347850201,-213.18101304464287,-181.7129,-1770.777109,-103.783813,-167.099739,-167.099739,-167.099739,-167.099739
24,959616,686,-1.9741744625262725,4153.723397157131,-0.003631191470478184,-240.5631658571429,-175.6460525,-5067.125884,-77.217573,-153.040836,-153.040836,-153.040836,-153.040836
25,999600,686,-1.9891457520998441,4175.126000448374,-8.943379654784878e-05,-198.98743146428572,-173.0326415,-1549.061204,-82.855026,-145.244866,-145.244866,-145.244866,-145.244866
